tconst,title,startYear,endYear,runtime,genres,avgRating,numVotes,Rating,Summary,ReleaseDate,Genre,Language,Poster
tt0092337,Dekalog,1989,1990,60,Drama,8.9,28102,,"Ten television drama films, each one based on one of the Ten Commandments.","Release dateDecember 10, 1989 (Poland)",,Polish,"https://m.media-amazon.com/images/M/MV5BNDgzZDVmZjYtYmNhNi00YTE0LWJmNDAtODZiNWIwMjJhZDhhXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt0275140,Law & Order: Criminal Intent,2001,2011,60,Crime Drama Mystery,7.6,28096,,"Follows the New York City Police Department's (NYPD) Major Case Squad (MCS), a force of detectives who investigate high-profile murder cases, while also showing parts of the crime from the p... Read all","Release dateSeptember 30, 2001 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BMjEzNTIxMTk3MF5BMl5BanBnXkFtZTcwODQ3NTg1MQ@@._V1_QL75_UY281_CR5,0,190,281_.jpg"
tt14192504,We Own This City,2022,2022,60,Biography Crime Drama,7.6,28077,,Tells the story of the rise and fall of the Baltimore Police Department's Gun Trace Task Force and the corruption surrounding it.,"Release dateApril 25, 2022 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BYjE3NzQ4NzctYThlYi00MmQ2LWIwOTktY2NlN2I1NGE5MTBhXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt8697870,The Nevers,2021,2023,58,Action Drama Fantasy,7.4,27961,,"An epic tale following a gang of Victorian women who find themselves with unusual abilities, relentless enemies, and a mission that might change the world.","Release dateApril 11, 2021 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BODEyOWY2ZDctOGI3Zi00YjYwLWIwZDEtMzJlY2VhYTA2N2ViXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt1806234,Human Planet,2011,2011,50,Documentary,9,27926,,A cinematic experience bringing you the most amazing human stories in the world. Humans and wildlife surviving in the most extreme environments on Earth,"Release dateJanuary 13, 2011 (United Kingdom)",,English,"https://m.media-amazon.com/images/M/MV5BOTJmZjcwZDctODRkYi00MTJkLTgwYTYtMmUxYTgxOGU4ODg2XkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt8362852,Swamp Thing,2019,2019,60,Horror Sci-Fi,7.4,27895,,"Abby Arcane returns home to Marais, Louisiana to investigate a deadly swamp-borne virus, only to discover the dark, terrifying mysteries of the swamp.","Release dateMay 31, 2019 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BOGI2MzgzMjYtMzBlZi00MmRiLWIwZTktNjdmYjNiZjcyMmU3XkEyXkFqcGdeQXVyMTU0OTM5ODc1._V1_QL75_UY281_CR1,0,190,281_.jpg"
tt0264263,Jackass,2000,2007,30,Action Comedy Reality-TV,7.3,27820,,The cast performs various crazy stunts for our amusement.,"Release dateOctober 1, 2000 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BMGViZGEzZWUtY2JjZC00MjRlLWI2NDktM2VlZTA2NzcwMzE2XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_QL75_UY281_CR11,0,190,281_.jpg"
tt2183404,Rectify,2013,2016,60,Drama,8.3,27759,,Daniel Holden must put his life back together after serving 19 years on Georgia's Death Row before DNA evidence calls his conviction into question.,"Release dateApril 22, 2013 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BOTdhYTE1M2EtNzcyYy00YzlkLTgwOTMtNDhmZGMzNjU2ZjI1XkEyXkFqcGdeQXVyMTk4NTIzMzI@._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt13138834,Time,2021,\N,59,Crime Drama,8.2,27722,,"Eric is a prison officer who tries to protect those in his charge. When one of the most dangerous inmates identifies his weakness, Eric faces an impossible choice between his principles and ... Read all","Release dateAugust 17, 2021 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BNjM5N2RlNDgtNjM0OS00N2ZhLWJlYjgtNTdmNDVjMWM1ZmUzXkEyXkFqcGdeQXVyNjI2OTgxNzY@._V1_QL75_UY281_CR1,0,190,281_.jpg"
tt8688814,The Dragon Prince,2018,\N,26,Action Adventure Animation,8.3,27716,,"Two human princes forge an unlikely bond with the elfin assassin sent to kill them, embarking on an epic quest to bring peace to their warring lands.","Release dateSeptember 14, 2018 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BZTc4ZGNkNjItMDk4MC00Mjk1LWJhNzktYTA0OGFjMzJiMjMxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt0079844,Salem's Lot,1979,1979,100,Horror,6.7,27713,,A novelist and a young horror fan attempt to save a small New England town which has been invaded by vampires.,"Release dateNovember 17, 1979 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BNWRhZDNlYjUtNjllMS00Mzk4LWI4YzEtMDM2MTk1N2U0YTcxXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,3,190,281_.jpg"
tt8388390,Chucky,2021,\N,42,Comedy Drama Horror,7.3,27694,,"After a vintage Chucky doll turns up at a suburban yard sale, an idyllic American town is thrown into chaos as a series of horrifying murders begin to expose the town's hypocrisies and secre... Read all","Release dateOctober 12, 2021 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BZmQxYTZjYzctNGIxYS00YWI0LTg5ODQtMmI3NzAzNmYxNjY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR1,0,190,281_.jpg"
tt20869502,Extraordinary Attorney Woo,2022,2022,75,Drama,8.6,27691,,"Due to her 164 I.Q., impressive memory and creative thought process, autistic 27-year-old lawyer Woo Young Woo graduated at the top of her class from a prestigious law school.","Release dateJune 29, 2022 (United States)",,Korean,"https://m.media-amazon.com/images/M/MV5BMTAzNzlhYjItN2MxZS00ZTg4LWFmZGQtN2I1ZWE5YjgzODY3XkEyXkFqcGdeQXVyNjk1NzU1Mjk@._V1_QL75_UY281_CR4,0,190,281_.jpg"
tt1909015,Undercover,2011,2016,60,Action Crime Drama,8.9,27678,,Trained young policeman goes undercover in the gang of the most dangerous mafia boss in Bulgaria.,"Release dateApril 17, 2011 (Bulgaria)",,Bulgarian,"https://m.media-amazon.com/images/M/MV5BMTEwODUwNjEwMDBeQTJeQWpwZ15BbWU3MDczMDAzODU@._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt0239195,Survivor,2000,\N,60,Adventure Game-Show Reality-TV,7.5,27660,,A reality show where a group of contestants are stranded in a remote location with little more than the clothes on their back. The lone survivor of this contest takes home a million dollars.,"Release dateMay 31, 2000 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BMzRjYjcyZTItNTA1Mi00YTVkLWE2Y2MtMmRlMzllODkyYzQ2XkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_QL75_UX190_CR0,2,190,281_.jpg"
